EMGData,EMGData2,Label
9,6,0
8,0,0
10,9,0
7,3,0
8,3,0
10,15,0
7,7,0
9,8,0
8,10,0
8,-2,0
10,14,0
8,3,0
8,2,0
10,13,0
8,4,0
9,11,0
8,8,0
8,1,0
11,12,0
9,7,0
8,0,0
10,9,0
7,-1,0
10,6,0
9,10,0
7,0,0
10,12,0
9,7,0
7,3,0
9,8,0
7,-1,0
11,4,0
9,10,0
7,-1,0
9,9,0
8,8,0
8,0,0
9,13,0
7,6,0
10,7,0
10,8,0
8,2,0
11,10,0
8,3,0
8,5,0
10,9,0
8,4,0
9,3,0
9,6,0
7,4,0
9,13,0
8,9,0
9,1,0
9,11,0
7,0,0
8,11,0
9,8,0
6,-2,0
10,10,0
8,0,0
8,-1,0
10,10,0
6,3,0
9,13,0
9,8,0
7,0,0
10,10,0
8,5,0
8,5,0
9,11,0
7,6,0
10,7,0
8,9,0
7,-2,0
10,15,0
8,4,0
8,2,0
9,11,0
9,3,0
9,6,0
9,6,0
7,4,0
10,20,0
8,4,0
8,7,0
10,9,0
6,-1,0
9,8,0
9,11,0
6,-1,0
10,14,0
8,8,0
8,4,0
9,12,0
7,3,0
9,8,0
9,6,0
7,2,0
10,12,0
7,9,0
8,0,0
9,12,0
7,-1,0
9,9,0
9,8,0
7,4,0
10,12,0
8,9,0
8,3,0
10,11,0
8,3,0
9,11,0
9,11,0
7,1,0
10,13,0
8,10,0
8,8,0
9,14,0
8,4,0
9,9,0
9,11,0
7,3,0
9,8,0
10,12,0
8,4,0
9,6,0
7,1,0
9,8,0
9,7,0
7,3,0
9,13,0
8,7,0
7,6,0
9,11,0
7,1,0
9,12,0
8,9,0
8,4,0
10,11,0
8,5,0
8,6,0
9,11,0
8,2,0
8,7,0
9,8,0
8,2,0
9,14,0
9,16,0
7,0,0
9,16,0
7,4,0
6,-12,0
10,13,0
7,4,0
7,5,0
9,11,0
7,-11,0
10,13,0
7,2,0
8,6,0
10,4,0
6,8,0
8,7,0
9,15,0
7,-3,0
10,11,0
9,3,0
6,-6,0
9,3,0
7,2,0
9,6,0
8,6,0
7,4,0
9,14,0
8,2,0
7,2,0
10,12,0
7,5,0
8,11,0
8,4,0
8,0,0
10,15,0
9,6,0
7,3,0
9,10,0
6,1,0
8,1,0
9,8,0
7,3,0
10,20,0
7,3,0
9,-3,0
10,5,0
6,8,0
8,5,0
9,4,0
7,0,0
7,11,0
8,6,0
8,5,0
10,14,0
7,1,0
8,13,0
7,29,0
8,2,0
9,13,0
7,6,0
8,5,0
9,7,0
8,-1,0
9,6,0
9,7,0
7,-5,0
10,10,0
9,2,0
8,4,0
9,14,0
7,5,0
10,12,0
9,17,0
7,-3,0
11,16,0
8,4,0
7,9,0
10,10,0
7,-4,0
9,5,0
8,9,0
7,-2,0
9,14,0
7,1,0
8,0,0
9,9,0
8,4,0
8,8,0
8,2,0
7,-6,0
10,13,0
7,1,0
8,5,0
9,14,0
9,-2,0
8,5,0
9,10,0
7,2,0
10,13,0
8,7,0
7,3,0
9,18,0
6,-3,0
9,2,0
9,16,0
7,2,0
10,17,0
8,5,0
7,6,0
9,9,0
7,0,0
9,6,0
9,11,0
7,6,0
9,15,0
7,7,0
8,4,0
9,10,0
8,-1,0
8,9,0
8,9,0
8,1,0
10,9,0
8,6,0
8,10,0
9,10,0
7,-5,0
9,8,0
8,2,0
7,7,0
10,5,0
8,6,0
9,3,0
9,17,0
7,5,0
8,15,0
8,9,0
7,8,0
8,4,0
8,4,0
