S1_Std,S1_Diff,S1_Waveform,S2_Std,S2_Diff,S2_Waveform,Label
3.481436485,6,15,10.77961038,8,35,0
3.435112807,1,15,10.7228541,9,35,0
3.455777771,4,15,10.85357084,11,35,0
3.433307443,-3,15,10.7907553,-2,35,0
3.433307443,-2,15,10.73202684,-4,35,0
3.435112807,3,15,10.69945793,-5,35,0
3.40916412,-2,15,10.85180169,-14,35,0
3.430976537,-3,15,10.96678622,-5,35,0
3.224220836,4,15,10.71328148,9,34,0
3.287795614,5,15,10.62873464,12,34,0
3.330105103,0,15,10.77857133,10,34,0
3.330105103,0,15,10.77857133,0,34,0
3.371409201,0,15,10.7387895,-3,34,0
3.3717058,-5,15,10.68271501,-9,34,0
3.389631248,-2,15,10.77265056,-11,34,0
3.446737588,-2,15,10.89587078,-6,34,0
3.47424812,1,15,10.73096454,4,34,0
3.371409201,1,15,10.54961611,10,34,0
3.37194306,4,15,10.65645344,13,34,0
3.37194306,3,15,10.75776929,5,34,0
3.436335257,2,15,10.83551568,0,34,0
3.464621191,-3,15,10.7874186,-11,34,0
3.453983208,-5,15,10.81260376,-11,34,0
3.509985755,-3,15,11.03523448,-11,34,0
3.559550533,-1,15,11.00879648,3,34,0
3.553083168,6,15,10.87428159,13,34,0
3.549028036,0,15,10.95671484,11,34,0
3.578211844,3,15,11.0219599,4,34,0
3.542654372,-3,15,10.98036429,-3,34,0
3.546491224,-2,15,10.88464974,-8,34,0
3.542936635,0,15,10.88220566,-6,34,0
3.568136769,-2,15,11.06699598,-12,34,0
3.508902962,-1,15,11.06699598,0,34,0
3.39411255,5,15,10.87347231,11,34,0
3.377632307,0,15,10.92192291,12,34,0
3.430685063,4,15,11.02208692,6,34,0
3.471080523,3,16,10.9949261,1,34,0
3.471080523,-2,16,10.9109303,-5,34,0
3.505481422,-9,16,10.85917124,-11,34,0
3.586697645,-2,16,11.12467528,-16,34,0
3.805259518,-4,17,11.18184242,0,34,0
3.757871738,9,17,11.04972398,10,34,0
3.748332963,-1,17,11.03320443,10,34,0
3.83191858,7,17,11.1821286,11,34,0
3.910191811,1,17,11.15865583,-1,34,0
3.984971769,-1,17,11.10394524,-4,34,0
3.95580586,-5,17,11.05023077,-8,34,0
3.925353487,-1,17,11.2232081,-15,34,0
3.994446144,-5,17,11.2232081,-1,34,0
3.827531842,3,17,11.06706827,6,34,0
3.811351466,3,17,11.00852397,10,34,0
3.834631664,3,17,11.13193604,11,34,0
3.834631664,-1,17,11.15363618,1,34,0
3.861657675,1,17,11.15363618,-3,34,0
3.86786763,0,17,11.12764126,-8,34,0
3.888444419,-6,17,11.26026643,-14,34,0
3.965047288,-3,17,11.3375306,-4,34,0
3.991240409,0,17,11.13676793,6,33,0
4.06939799,0,17,11.06094029,9,33,0
4.026114752,4,17,11.13775561,11,33,0
4.006045432,5,17,11.13775561,3,33,0
4.006045432,1,17,11.13775561,0,33,0
3.959797975,-3,17,11.06094029,-10,33,0
3.959797975,-2,17,11.15462236,-13,33,0
4.0501358,7,17,11.21679098,-3,33,0
3.998049524,-7,17,11.09479157,2,33,0
3.97114593,-1,17,10.96833625,8,33,0
3.953782999,1,17,11.01491716,11,33,0
3.953782999,2,17,11.01491716,3,33,0
3.906968134,-1,17,10.89616446,0,33,0
3.801105102,0,17,10.68082394,-7,32,0
3.769562309,0,17,10.70506422,-11,32,0
3.99219238,-10,17,10.96729684,-11,33,0
4.016217126,4,17,10.90973877,3,33,0
3.944616585,5,17,10.73962755,12,33,0
3.991240409,-4,17,10.783339,10,33,0
4.008041916,7,17,10.80251822,4,33,0
3.99219238,0,17,10.73359213,0,33,0
4.008790341,0,17,10.64422848,-6,33,0
4.010436385,-1,17,10.64332655,-8,33,0
4.006045432,-1,17,10.76557476,-9,33,0
3.981205847,-2,17,10.69169771,0,33,0
3.961009972,-2,17,10.49092942,9,33,0
4.009987531,8,17,10.56751626,13,33,0
4.056796766,0,17,10.77248346,7,35,0
4.014423994,-3,17,10.74819055,-4,35,0
3.904919974,2,16,10.60196208,-5,35,0
3.832544846,-2,16,10.51064223,-8,35,0
3.878607998,-7,16,10.6683832,-13,35,0
3.832544846,2,16,10.55621144,0,35,0
3.593828043,2,16,10.31311786,7,35,0
3.678260458,-4,16,10.26535922,8,35,0
3.677444765,7,16,10.34835253,8,35,0
3.595775299,-1,16,10.24062498,-1,35,0
3.488552709,-3,16,10.11393099,-3,35,0
3.500914166,-4,16,10.03585572,-6,35,0
3.599111001,0,16,10.31395172,-17,35,0
3.693237063,0,16,10.3706509,1,35,0
3.651629773,3,16,10.23437345,7,35,0
3.712088361,8,16,10.17347532,13,35,0
3.775764823,0,16,10.35961389,10,35,0
3.799157801,0,16,10.46472169,2,35,0
3.979949748,4,18,10.44147499,-4,35,0
3.963281469,-6,18,10.39430613,-5,35,0
3.927543762,-2,18,10.47169518,-16,35,0
3.91591624,-1,18,10.52138774,-5,35,0
3.891991778,-4,18,10.37113301,4,35,0
3.834370874,2,18,10.28015564,7,35,0
3.760904147,2,18,10.35034299,12,35,0
3.869108424,7,18,10.41385615,4,35,0
3.915150061,-1,18,10.3696673,-2,35,0
3.863469943,-6,18,10.22203502,-8,35,0
3.871743793,-2,18,10.33535679,-14,35,0
3.872415267,3,18,10.45531444,-4,35,0
3.768288736,-3,18,10.48093507,1,35,0
3.771949098,1,18,10.36887651,12,35,0
3.768288736,1,18,10.41777327,10,35,0
3.854555746,6,18,10.49169195,4,35,0
3.865798753,-3,18,10.49169195,-1,35,0
3.882730998,0,18,10.41352966,-5,35,0
3.914894635,1,18,10.41660213,-10,35,0
4.016217126,-10,18,10.46596388,-6,35,0
3.790725524,6,15,10.24751677,0,34,0
3.726714371,-2,15,10.02045907,8,34,0
3.726714371,2,15,10.07777753,11,34,0
3.67483333,2,15,10.18697207,4,34,0
3.690203246,2,15,10.2306207,0,34,0
3.675649602,-3,15,10.15537296,-7,34,0
3.666933324,-2,15,10.1506453,-9,34,0
3.773592453,-5,15,10.40338406,-13,34,0
3.822302971,2,15,10.48284313,1,34,0
3.831657605,2,15,10.37514337,9,34,0
3.807571404,1,15,10.38285125,11,34,0
3.749986667,2,15,10.4228403,7,34,0
3.777883005,5,15,10.31156632,1,33,0
3.806573262,-2,15,10.21402957,-5,33,0
3.771259736,-3,15,10.15684991,-8,33,0
3.762977544,-1,15,10.35181144,-14,33,0
3.70302579,-2,15,10.35181144,1,33,0
3.681086796,4,15,10.20135285,9,33,0
3.694103409,1,15,10.18430165,9,33,0
3.643569678,1,15,10.41429786,11,33,0
3.66938687,0,15,10.50059046,-2,33,0
3.673908001,-2,15,10.485819,-6,33,0
3.667642294,1,15,10.46061184,-6,33,0
3.579720659,-6,15,10.66,-16,33,0
3.45490955,2,15,10.57007096,0,32,0
3.417367408,-4,15,10.39632627,5,32,0
3.372891934,7,15,10.30727898,11,32,0
3.337603931,1,15,10.43932948,11,32,0
3.288829579,-2,15,10.39309386,-1,32,0
3.239506135,-1,15,10.22015655,-4,32,0
3.028200786,2,13,10.09572187,-6,32,0
3.019205193,-3,13,10.20392082,-14,32,0
3.087005021,-3,13,10.55264896,-9,37,0
3.10638053,2,13,10.48139304,10,37,0
3.060980235,0,13,10.38323649,11,37,0
3.058692531,5,13,10.50188554,12,37,0
3.117948043,2,13,10.55857945,0,37,0
2.992590851,-3,12,10.49617073,-2,37,0
2.913142633,1,12,10.4017114,-6,37,0
2.912662013,-2,12,10.44545834,-11,37,0
2.912662013,-3,12,10.5456152,-8,37,0
2.913142633,2,12,10.46777913,3,37,0
2.934007498,-3,12,10.27246806,11,37,0
2.93257566,5,12,10.39278596,13,37,0
2.950322016,1,12,10.53633712,3,37,0
2.870540019,0,12,10.53633712,-3,37,0
2.857201428,-1,12,10.453784,-7,37,0
2.8371817,-2,12,10.4560987,-10,37,0
2.895582843,-5,12,10.66215738,-10,37,0
2.895582843,-1,12,10.7808905,0,37,0
2.901310049,5,12,10.68758158,13,37,0
2.926841301,5,12,10.78517501,13,37,0
2.968097033,0,12,10.8853112,3,37,0
3.191300675,5,15,10.93400201,1,37,0
3.244996148,-3,15,10.8203512,-9,37,0
3.253367486,-7,15,10.80386968,-9,37,0
3.266557821,-1,15,11.00852397,-12,37,0
3.125955854,3,15,10.92805564,2,37,0
3.052933016,-1,15,10.72052238,10,37,0
3.029257335,2,15,10.71785426,10,37,0
3.029785471,1,15,10.83928042,6,37,0
3.143310357,4,15,10.88376773,1,37,0
3.115381197,-2,15,10.79511,-6,37,0
3.091666217,-5,15,10.74915811,-9,37,0
3.2052457,-5,15,10.97043299,-14,37,0
3.389926253,-2,16,11.08880517,-3,37,0
3.5,1,16,11.02471768,8,37,0
3.515053342,4,16,11.00743385,10,37,0
3.504283094,4,16,11.08911178,11,37,0
3.488495378,-4,16,10.93617849,-2,36,0
3.539717503,8,16,10.81857662,-1,36,0
3.539547994,-7,16,10.76542614,-6,36,0
3.537004382,-1,16,10.94232151,-16,36,0
3.585749573,-3,16,10.99636304,-2,36,0
3.632134359,1,16,10.89265808,7,36,0
3.568977445,2,16,10.81820688,9,36,0
3.581117144,5,16,10.94356432,12,36,0
3.682879308,4,16,10.99352537,3,36,0
3.699783777,-4,16,10.95452418,-5,36,0
3.715319636,-5,16,10.90203651,-8,36,0
3.723492984,0,16,11.00954132,-13,36,0
3.733309524,0,16,11.05623806,-3,36,0
3.697350403,0,16,10.74400298,4,33,0
3.682390528,2,16,10.62685278,10,33,0
3.667206021,1,16,10.73171002,11,33,0
3.650150682,0,16,10.73171002,1,33,0
3.59866642,1,16,10.69250205,-2,33,0
3.59866642,0,16,10.60837405,-8,33,0
3.586697645,0,16,10.64377752,-9,33,0
3.600222215,-4,16,10.73312629,-5,33,0
3.585749573,2,16,10.58113415,4,33,0
3.593104507,2,16,10.4444435,11,33,0
3.567688327,0,16,10.61284128,11,33,0
3.595830919,2,16,10.68456831,1,33,0
3.584633873,-2,16,10.63496121,-2,33,0
3.567408023,-1,16,10.5408918,-7,33,0
3.561404217,0,16,10.54174559,-10,33,0
3.614470916,-5,16,10.70894953,-10,33,0
3.538869876,3,16,10.68129206,0,33,0
3.423974299,3,16,10.46749254,11,33,0
3.417601498,-2,16,10.51248781,11,33,0
3.400529371,3,16,10.55516935,5,33,0
3.365947118,-2,16,10.48816476,-2,33,0
3.140764238,-1,14,10.3,-7,33,0
3.050835951,-2,14,10.28093381,-7,33,0
3.102515109,-2,14,10.55454405,-14,33,0
3.087782376,4,14,10.55454405,2,33,0
3.087782376,1,14,10.42629368,9,33,0
3.091989651,-2,14,10.42965004,10,33,0
3.128514024,5,14,10.53975332,9,33,0
3.128514024,-1,14,10.51682462,-1,33,0
3.001666204,0,14,10.38082848,-5,33,0
2.932302849,-5,14,10.32327467,-8,33,0
2.961418579,-1,14,10.56598315,-15,33,0
2.877498914,3,14,10.53886142,2,33,0
2.714774392,-2,13,10.29075313,6,32,0
2.573402417,3,12,10.19374318,10,32,0
2.720955714,6,12,10.34841051,11,32,0
3.091924967,4,16,10.4726119,3,33,0
3.129281068,-6,16,10.48953764,-6,33,0
