EMGData,EMGData2,Label
8,8,0
6,5,0
9,4,0
7,4,0
7,5,0
9,8,0
6,6,0
8,4,0
9,6,0
7,6,0
10,6,0
8,5,0
7,6,0
7,4,0
8,6,0
8,10,0
8,6,0
6,3,0
9,6,0
9,10,0
8,5,0
9,6,0
7,6,0
9,5,0
9,8,0
7,5,0
8,6,0
7,5,0
8,7,0
8,8,0
6,4,0
8,4,0
9,6,0
7,5,0
9,7,0
8,9,0
7,3,0
9,6,0
7,6,0
8,7,0
8,6,0
7,6,0
8,6,0
7,5,0
7,6,0
9,7,0
7,5,0
9,7,0
8,6,0
8,5,0
8,6,0
7,7,0
7,6,0
8,5,0
7,4,0
9,7,0
8,7,0
8,4,0
8,5,0
8,6,0
6,4,0
10,8,0
7,5,0
8,7,0
7,7,0
7,4,0
10,7,0
6,4,0
8,6,0
9,6,0
7,7,0
8,6,0
9,6,0
7,5,0
9,5,0
8,7,0
9,6,0
8,6,0
7,2,0
9,7,0
7,8,0
7,5,0
8,3,0
7,4,0
8,10,0
8,6,0
7,5,0
8,6,0
8,5,0
7,7,0
9,4,0
8,6,0
7,6,0
7,5,0
7,5,0
8,5,0
8,8,0
8,7,0
9,7,0
7,4,0
9,6,0
9,6,0
7,3,0
9,7,0
8,5,0
7,5,0
10,6,0
7,5,0
7,5,0
9,6,0
6,6,0
8,5,0
7,6,0
8,7,0
8,8,0
6,4,0
8,6,0
7,6,0
8,6,0
8,5,0
8,5,0
7,5,0
9,8,0
8,6,0
8,6,0
9,7,0
712,7,0
7,5,0
8,5,0
9,7,0
8,5,0
9,5,0
8,7,0
8,5,0
9,7,0
7,4,0
8,5,0
8,7,0
8,5,0
9,8,0
7,6,0
8,4,0
8,6,0
6,4,0
8,3,0
9,8,0
8,5,0
9,6,0
8,7,0
7,7,0
9,6,0
7,5,0
8,5,0
8,6,0
8,4,0
10,8,0
8,6,0
7,4,0
8,7,0
6,3,0
8,8,0
8,8,0
8,7,0
8,6,0
6,6,0
7,3,0
9,6,0
7,6,0
9,6,0
8,7,0
7,5,0
7,4,0
10,6,0
8,6,0
8,6,0
7,4,0
9,6,0
8,5,0
7,6,0
8,6,0
6,2,0
9,9,0
8,6,0
7,5,0
7,3,0
7,8,0
7,4,0
8,7,0
7,4,0
9,5,0
7,4,0
7,5,0
8,7,0
7,6,0
7,4,0
8,7,0
7,5,0
9,8,0
7,6,0
7,4,0
9,6,0
6,2,0
7,4,0
9,7,0
7,6,0
9,8,0
7,5,0
5,3,0
8,7,0
7,5,0
8,3,0
9,7,0
7,5,0
9,4,0
8,5,0
7,4,0
9,7,0
8,5,0
8,5,0
9,5,0
6,3,0
10,8,0
8,5,0
7,6,0
8,5,0
7,6,0
9,6,0
8,6,0
6,4,0
9,6,0
8,5,0
7,7,0
8,6,0
7,4,0
9,5,0
8,5,0
6,5,0
9,9,0
6,6,0
7,3,0
8,4,0
6,4,0
9,10,0
8,7,0
6,5,0
7,5,0
8,5,0
8,5,0
9,5,0
6,6,0
9,6,0
7,6,0
6,4,0
8,7,0
8,5,0
8,5,0
9,8,0
7,4,0
9,8,0
7,6,0
7,3,0
9,7,0
8,6,0
8,6,0
7,6,0
6,4,0
9,4,0
7,7,0
7,5,0
8,6,0
8,9,0
7,3,0
8,7,0
7,5,0
8,4,0
6,3,0
7,6,0
9,10,0
7,6,0
8,6,0
8,5,0
6,6,0
8,4,0
10,10,0
7,5,0
8,6,0
7,5,0
8,4,0
8,5,0
7,6,0
9,8,0
8,3,0
7,6,0
8,4,0
6,6,0
9,5,0
7,4,0
6,3,0
8,5,0
7,7,0
6,2,0
8,6,0
7,7,0
8,8,0
8,5,0
6,3,0
9,5,0
8,6,0
8,4,0
8,5,0
7,7,0
8,5,0
8,3,0
7,3,0
10,8,0
8,6,0
8,3,0
8,9,0
6,6,0
8,5,0
8,5,0
7,1,0
8,7,0
7,5,0
8,5,0
